method,model_batch_norm,model_dropout,model_layers,model_classes,model_supports,model_planes,model_plane_training,testing_classes,testing_supports,testing_planes,integer_range,unseen,cos_acc,true_lsh_acc,sigmoid_lsh_acc
lsh_random,True,True,4,20,5,1000,False,10,1,1250,1000,True,0.264,0.255,0.254
lsh_random,True,True,4,20,5,1000,False,10,2,1250,1000,True,0.357,0.328,0.328
lsh_random,True,True,4,20,5,1000,False,10,5,1250,1000,True,0.296,0.232,0.232
lsh_random,True,True,4,20,5,1000,False,10,10,1250,1000,True,0.344,0.258,0.258
lsh_random,True,True,4,20,5,1000,False,20,1,1250,1000,True,0.244,0.175,0.175
lsh_random,True,True,4,20,5,1000,False,20,2,1250,1000,True,0.17,0.15,0.15
lsh_random,True,True,4,20,5,1000,False,20,5,1250,1000,True,0.251,0.21,0.21
lsh_random,True,True,4,20,5,1000,False,20,10,1250,1000,True,0.215,0.19,0.19
lsh_random,True,True,4,20,5,1000,False,50,1,1250,1000,True,0.136,0.096,0.096
lsh_random,True,True,4,20,5,1000,False,50,2,1250,1000,True,0.155,0.134,0.134
lsh_random,True,True,4,20,5,1000,False,50,5,1250,1000,True,0.14,0.115,0.116
lsh_random,True,True,4,20,5,1000,False,50,10,1250,1000,True,0.119,0.122,0.122
lsh_random,True,True,4,20,5,1000,False,100,1,1250,1000,True,0.084,0.061,0.061
lsh_random,True,True,4,20,5,1000,False,100,2,1250,1000,True,0.09,0.054,0.054
lsh_random,True,True,4,20,5,1000,False,100,5,1250,1000,True,0.079,0.057,0.057
lsh_random,True,True,4,20,5,1000,False,100,10,1250,1000,True,0.072,0.053,0.053
lsh_random,True,True,4,20,5,1000,False,200,1,1250,1000,True,0.075,0.055,0.055
lsh_random,True,True,4,20,5,1000,False,200,2,1250,1000,True,0.06,0.041,0.041
lsh_random,True,True,4,20,5,1000,False,200,5,1250,1000,True,0.066,0.055,0.055
lsh_random,True,True,4,20,5,1000,False,200,10,1250,1000,True,0.054,0.039,0.039
lsh_random,True,True,4,20,5,1000,False,500,1,1250,1000,True,0.027,0.016,0.016
lsh_random,True,True,4,20,5,1000,False,500,2,1250,1000,True,0.036,0.025,0.025
lsh_random,True,True,4,20,5,1000,False,500,5,1250,1000,True,0.037,0.024,0.024
lsh_random,True,True,4,20,5,1000,False,500,10,1250,1000,True,0.037,0.021,0.021
lsh_random,True,True,4,20,5,1000,False,5,1,1500,1000,True,0.43,0.423,0.423
lsh_random,True,True,4,20,5,1000,False,5,2,1500,1000,True,0.595,0.486,0.486
lsh_random,True,True,4,20,5,1000,False,5,5,1500,1000,True,0.609,0.598,0.598
lsh_random,True,True,4,20,5,1000,False,5,10,1500,1000,True,0.603,0.632,0.632
lsh_random,True,True,4,20,5,1000,False,10,1,1500,1000,True,0.356,0.308,0.308
lsh_random,True,True,4,20,5,1000,False,10,2,1500,1000,True,0.289,0.306,0.306
lsh_random,True,True,4,20,5,1000,False,10,5,1500,1000,True,0.322,0.235,0.235
lsh_random,True,True,4,20,5,1000,False,10,10,1500,1000,True,0.279,0.314,0.314
lsh_random,True,True,4,20,5,1000,False,20,1,1500,1000,True,0.193,0.154,0.154
lsh_random,True,True,4,20,5,1000,False,20,2,1500,1000,True,0.164,0.169,0.169
lsh_random,True,True,4,20,5,1000,False,20,5,1500,1000,True,0.204,0.156,0.157
lsh_random,True,True,4,20,5,1000,False,20,10,1500,1000,True,0.23,0.177,0.177
lsh_random,True,True,4,20,5,1000,False,50,1,1500,1000,True,0.122,0.094,0.094
lsh_random,True,True,4,20,5,1000,False,50,2,1500,1000,True,0.135,0.098,0.098
lsh_random,True,True,4,20,5,1000,False,50,5,1500,1000,True,0.117,0.098,0.099
lsh_random,True,True,4,20,5,1000,False,50,10,1500,1000,True,0.152,0.114,0.114
lsh_random,True,True,4,20,5,1000,False,100,1,1500,1000,True,0.084,0.081,0.081
lsh_random,True,True,4,20,5,1000,False,100,2,1500,1000,True,0.093,0.058,0.058
lsh_random,True,True,4,20,5,1000,False,100,5,1500,1000,True,0.084,0.066,0.066
